四川省红原	102.55	31.79	-4188
四川省会东	102.55	26.74	-4188
四川省普格	102.52	27.38	-4195
四川省越西	102.49	28.66	-4202
四川省喜德	102.42	28.33	-4219
四川省石棉	102.38	29.21	-4229
四川省小金	102.34	30.97	-4238
四川省西昌	102.29	27.92	-4250
四川省泸定	102.25	29.92	-4260
四川省马尔康	102.22	31.92	-4267
四川省会理	102.21	26.67	-4270
四川省冕宁	102.15	28.58	-4284
四川省来易	102.15	26.9	-4284
四川省德昌	102.15	27.4	-4284
四川省金川	102.03	31.48	-4313
四川省康定	101.95	30.04	-4332
四川省丹巴	101.87	30.85	-4351
四川省阿坝	101.72	31.93	-4387
四川省盐边	101.56	26.9	-4426
四川省九龙	101.53	29.01	-4433
四川省盐源	101.51	27.42	-4438
四川省木里	101.25	27.9	-4500
四川省道孚	101.14	30.99	-4526
四川省雅江	101	30.03	-4560
四川省壤塘	100.97	32.3	-4567
四川省炉霍	100.65	31.38	-4644
四川省色达	100.35	32.3	-4716
四川省稻城	100.31	29.04	-4726
四川省新龙	100.28	30.96	-4733
四川省理塘	100.28	30.03	-4733
四川省甘孜	99.96	31.64	-4810
四川省乡城	99.78	28.93	-4853
四川省得荣	99.25	28.71	-4980
四川省巴塘	99	30	-5040
四川省白玉	98.83	32.23	-5081
四川省德格	98.57	31.81	-5143
四川省石渠	98.06	33.01	-5266
河南省永城	116.37	33.94	-871
河南省夏邑	116.13	34.22	-929
河南省虞城	115.87	34.4	-991
河南省台前	115.83	36	-1001
河南省固始	115.68	32.17	-1037
河南省商丘	115.65	34.44	-1044
河南省鹿邑	115.48	33.86	-1085
河南省范县	115.46	35.9	-1090
河南省商城	115.42	31.81	-1099
河南省淮滨	115.41	32.44	-1102
河南省宁陵	115.31	34.44	-1126
河南省柘城	115.29	34.08	-1130
河南省南乐	115.21	36.08	-1150
河南省郸城	115.17	33.63	-1159
河南省民权	115.13	34.65	-1169
河南省清丰	115.1	35.89	-1176
河南省沈丘	115.06	33.41	-1186
河南省睢县	115.04	34.46	-1190
河南省潢川	115.04	32.13	-1190
河南省濮阳	114.98	35.71	-1205
河南省新蔡	114.97	32.75	-1207
河南省光山	114.91	32.02	-1222
河南省项城	114.9	33.44	-1224
河南省淮阳	114.88	33.74	-1229
河南省内黄	114.88	35.95	-1229
河南省太康	114.85	34.06	-1236
河南省新县	114.83	31.62	-1241
河南省兰考	114.81	34.69	-1246
河南省杞县	114.77	34.56	-1255
河南省息县	114.72	32.35	-1267
河南省长垣	114.67	35.19	-1279
河南省周口	114.63	33.63	-1289
河南省平舆	114.62	32.97	-1291
河南省商水	114.59	33.54	-1298
河南省浚县	114.54	35.67	-1310
河南省罗山	114.53	32.21	-1313
河南省滑县	114.52	35.57	-1315
河南省西华	114.5	33.79	-1320
河南省通许	114.46	34.48	-1330
河南省扶沟	114.38	34.05	-1349
河南省正阳	114.38	32.62	-1349
河南省安阳	114.35	36.1	-1356
河南省开封	114.35	34.79	-1356
河南省汝南	114.35	33	-1356
河南省汤阴	114.35	35.92	-1356
河南省上蔡	114.26	33.25	-1378
河南省延津	114.19	35.14	-1394
河南省尉氏	114.17	34.41	-1399
河南省鄢县	114.17	34.11	-1399
河南省淇县	114.17	35.6	-1399
河南省鹤壁	114.17	35.9	-1399
河南省信阳	114.08	32.13	-1421
河南省汲县	114.05	35.44	-1428
河南省封丘	114.04	35.03	-1430
河南省驻马店	114.02	32.98	-1435
河南省确山	114.02	32.83	-1435
河南省漯河	114.02	33.56	-1435
河南省西平	114	33.38	-1440
河南省中牟	114	34.73	-1440
河南省郾城	113.98	33.6	-1445
河南省遂平	113.98	33.15	-1445
河南省原阳	113.96	35.05	-1450
河南省临颖	113.94	33.81	-1454
河南省新乡	113.85	35.31	-1476
河南省林县	113.81	36.06	-1486
河南省许昌	113.81	34.02	-1486
河南省长葛	113.77	34.22	-1495
河南省辉县	113.77	35.46	-1495
河南省新郑	113.71	34.4	-1510
河南省郑州	113.65	34.76	-1524
河南省获嘉	113.63	35.27	-1529
河南省舞阳	113.58	33.44	-1541
河南省禹县	113.47	34.16	-1567
河南省襄城	113.46	33.86	-1570
河南省修武	113.42	35.24	-1579
河南省桐柏	113.4	32.37	-1584
河南省武陟	113.38	35.1	-1589
河南省密县	113.35	34.51	-1596
河南省荥阳	113.35	34.79	-1596
河南省叶县	113.35	33.62	-1596
河南省泌阳	113.31	32.72	-1606
河南省平顶山	113.29	33.75	-1610
河南省焦作	113.21	35.24	-1630
河南省郏县	113.19	33.98	-1634
河南省温贺	113.06	34.94	-1666
河南省博爱	113.05	35.16	-1668
河南省宝丰	113.04	33.86	-1670
河南省登封	113.02	34.46	-1675
河南省方城	112.98	33.25	-1685
河南省巩县	112.96	34.76	-1690
河南省社旗	112.92	33.05	-1699
河南省沁阳	112.92	35.08	-1699
河南省鲁山	112.88	33.74	-1709
河南省唐河	112.83	32.7	-1721
河南省临汝	112.83	34.17	-1721
河南省偃师	112.77	34.73	-1735
河南省孟县	112.77	34.92	-1735
河南省济源	112.57	35.08	-1783
河南省南阳	112.53	33.01	-1793
河南省汝阳	112.46	34.16	-1810
河南省洛阳	112.44	34.7	-1814
河南省伊川	112.42	34.43	-1819
河南省孟津	112.42	34.84	-1819
河南省南召	112.4	33.49	-1824
河南省新野	112.36	32.51	-1834
河南省镇平	112.23	33.03	-1865
河南省宜阳	112.15	34.51	-1884
河南省新安	112.14	34.75	-1886
河南省邓县	112.08	32.68	-1901
河南省嵩县	112.07	34.14	-1903
河南省义马	111.92	34.73	-1939
河南省内乡	111.83	33.05	-1961
河南省渑池	111.75	34.76	-1980
河南省洛宁	111.65	34.39	-2004
河南省栾川	111.6	33.81	-2016
河南省西峡	111.5	33.31	-2040
河南省淅川	111.47	33.14	-2047
河南省陕县	111.19	34.76	-2114
河南省三门峡	111.19	34.76	-2114
河南省卢氏	111.03	34.06	-2153
河南省灵宝	110.85	34.52	-2196
辽宁省桓仁	125.33	41.28	1279
辽宁省新宾	125.02	41.72	1205
辽宁省清原	124.9	42.13	1176
辽宁省宽甸	124.77	40.75	1145
辽宁省西丰	124.7	42.77	1128
辽宁省丹东	124.37	40.13	1049
辽宁省东沟	124.13	39.97	991
辽宁省昌图	124.13	42.8	991
辽宁省凤城	124.05	40.47	972
辽宁省开原	124.03	42.53	967
辽宁省抚顺	123.97	41.97	953
辽宁省铁岭	123.85	42.32	924
辽宁省本溪	123.73	41.3	895
辽宁省铁法	123.5	42.48	840
辽宁省沈阳	123.38	41.8	811
辽宁省法库	123.37	42.52	809
辽宁省灯塔	123.34	41.43	802
辽宁省康平	123.33	42.75	799
辽宁省岫岩	123.25	40.3	780
辽宁省辽阳	123.17	41.28	761
辽宁省庄河	122.97	39.7	713
辽宁省鞍山	122.85	41.12	684
辽宁省新民	122.83	42	679
辽宁省海城	122.75	40.85	660
辽宁省辽中	122.7	41.52	648
辽宁省长海	122.58	39.28	619
辽宁省彰武	122.52	42.42	605
辽宁省台安	122.4	41.4	576
辽宁省盖县	122.37	40.42	569
辽宁省营口	122.18	40.65	523
辽宁省黑山	122.12	41.7	509
辽宁省大洼	122.06	41	494
辽宁省盘山	122.03	41.02	487
辽宁省复县	121.97	39.63	473
辽宁省新金	121.95	39.55	468
辽宁省北镇	121.8	41.6	432
辽宁省金县	121.7	39.13	408
辽宁省阜新	121.65	42	396
辽宁省大连	121.62	38.92	389
辽宁省锦县	121.35	41.17	324
辽宁省义县	121.22	41.55	293
辽宁省锦州	121.15	41.13	276
辽宁省锦西	120.83	40.77	199
辽宁省北票	120.75	41.82	180
辽宁省兴城	120.68	40.63	163
辽宁省朝阳	120.42	41.58	101
辽宁省绥中	120.32	40.35	77
辽宁省建昌	119.78	40.82	-53
辽宁省建平	119.63	41.38	-89
辽宁省凌源	119.37	41.27	-151
江苏省启东	121.66	31.8	398
江苏省如东	121.18	32.33	283
江苏省海门	121.15	31.89	276
江苏省太仓	121.1	31.45	264
江苏省昆山	120.95	31.39	228
江苏省南通	120.86	32.01	206
江苏省常熟	120.74	31.64	178
江苏省吴江	120.63	31.16	151
江苏省吴县	120.62	31.32	149
江苏省苏州	120.62	31.32	149
江苏省如皋	120.56	32.39	134
江苏省沙洲	120.55	31.86	132
江苏省海安	120.45	32.57	108
江苏省大丰	120.45	33.19	108
江苏省东台	120.31	32.84	74
江苏省无锡	120.29	31.59	70
江苏省射阳	120.26	33.77	62
江苏省江阴	120.26	31.91	62
江苏省靖江	120.26	32.03	62
江苏省泰县	120.15	32.51	36
江苏省盐城	120.13	33.38	31
江苏省泰兴	120.02	32.16	5
江苏省武进	119.95	31.78	-12
江苏省常州	119.95	31.79	-12
江苏省泰州	119.9	32.49	-24
江苏省滨海	119.84	34.01	-38
江苏省宜兴	119.82	31.36	-43
江苏省兴化	119.82	32.93	-43
江苏省扬中	119.81	32.24	-46
江苏省阜宁	119.79	33.78	-50
江苏省建湖	119.77	33.46	-55
江苏省响水	119.56	34.2	-106
江苏省金坛	119.56	31.74	-106
江苏省江都	119.55	32.43	-108
江苏省丹阳	119.55	32	-108
江苏省溧阳	119.48	31.43	-125
